;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Channels Team;Channels Team;Order Management Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Order Management Team;Billing Team;Infra Team;Infra Team;Infra Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Infra Team;Infra Team;Infra Team;Order Management Team;Security Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Order Management Team;Infra Team;Order Management Team;Infra Team
;App_Eri_AIR_PROD;App_Eri_CCN_PROD;App_Eri_CSN_PROD;App_Eri_EMA_PROD;App_Eri_EMM_PROD;App_Eri_NGV_PROD;App_Eri_OCC_PROD;App_Eri_SAPC_PROD;App_Eri_SDP_PROD;APP_QVN_CSRTB;App_Qv_Audit_PROD;App_Qv_BSSAPI_PROD;App_Qv_FIMED_PROD;App_Qv_InvFmt_PROD;App_Qv_MQ_PROD;App_Qv_MWBE_PROD;App_Qv_MWDB_PROD;App_Qv_MWFE_PROD;App_Qv_OE_PROD;App_Qv_QAPI_PROD;App_Qv_RBS_PROD;App_Qv_Sentry_PROD;App_Qv_SOBE_PROD;App_Qv_SOFE_PROD;App_Qv_Webapp_PROD;App_Qv_WebBE_PROD;App_Qv_WebDB_PROD;App_Qv_WebFE_PROD;App_Telepine_PROD;DZ-HWFW-CH;DZ-HWR-CH;DZ-HWSW-CH;Enhancesys;ERI_App_SIEM;ERI_ESXI_PROD;HP_SA-Switch;HW_BladesServer_HP_PROD;HW_Chasis_PROD;HW_Firewall_Jun_PROD;HW_HP_BladesServer_NOPROD;HW_LB_PROD;HW_RackServer_HP_PROD;HW_SAN_Switch_PROD;HW_SSP;HW_STORAGE_HP_NOPROD;HW_STORAGE_HP_PROD;HW_Switches_Aruba_PROD;HW_Switch_HP_PROD;HW_VCENTER_PROD;HW_Zabbix_Proxy;KPIDB;NOPROD;OpenCode;virtual machines
;m10air04;;;;djezzy-dc1-mm6;;;;m10sdp15b;;;;;;;;;;;;;;;;rc51e00vm003n;;;;dzstw02b;SetFW_CH_02;SetR_CH_02;SetSW_CH_02;;;ALG-S1-L-C003xBS003;ALG-S2-L-C003-SAN-SW02;ALG-S1-L-C003xBS003-ILO.dbss.otalgerie.com;ALG-S2-L-C004-OA2;;;;;ALG-S2-L-C003-SAN-SW02;;;;;DZ-DC1-BLS-C007-SW03-4;;;;;;
;m10air05;;;;djezzy-dc1-mm7;;;;m11sdp20a;;;;;;;;;;;;;;;;rc51e00vm003o;;;;;;;;;;ALG-S1-L-C003xBS004;ALG-S2-L-C004-SAN-SW01;ALG-S1-L-C003xBS004-ILO.dbss.otalgerie.com;ALG-S2-L-C005-OA1;;;;;ALG-S2-L-C004-SAN-SW01;;;;;DZ-DC1-BLS-C008-SW01-2;;;;;;
;m11air1;;;;djezzy-dc1-mm8;;;;m11sdp20b;;;;;;;;;;;;;;;;rc51e00vm003p;;;;;;;;;;ALG-S1-L-C003xBS005;ALG-S2-L-C004-SAN-SW02;ALG-S1-L-C003xBS005-ILO.dbss.otalgerie.com;ALG-S2-L-C006-OA1;;;;;ALG-S2-L-C004-SAN-SW02;;;;;DZ-DC1-BLS-C008-SW03-4;;;;;;
;m11air2;;;;djezzy-dc1-OL-SERVER;;;;m11sdp21a;;;;;;;;;;;;;;;;rc51e00vm003q;;;;;;;;;;ALG-S1-L-C003xBS006;ALG-S2-L-C005-SAN-SW01;ALG-S1-L-C003xBS006-ILO.dbss.otalgerie.com;ALG-S2-L-C006-OA2;;;;;ALG-S2-L-C005-SAN-SW01;;;;;DZ-DC1-BLS-C009-SW01-2;;;;;;
;m11air3;;;;djezzy-dc1-OL-SERVER2;;;;;;;;;;;;;;;;;;;;rc51e00vm003r;;;;;;;;;;ALG-S1-L-C003xBS007;ALG-S2-L-C005-SAN-SW02;ALG-S1-L-C003xBS007-ILO.dbss.otalgerie.com;ALG2-S2-L-C005-OA2;;;;;ALG-S2-L-C005-SAN-SW02;;;;;DZ-DC1-BLS-C009-SW03-4;;;;;;
;ngnbair10;;;;djezzy-dc1-OL-SERVER3;;;;;;;;;;;;;;;;;;;;rc51e00vm003s;;;;;;;;;;ALG-S1-L-C003xBS008;ALG-S2-L-C006-SAN-SW01;ALG-S1-L-C003xBS008-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-C006-SAN-SW01;;;;;DZ-DC1-SSW-NW001-2;;;;;;
;ngnbair11;;;;djezzy-dc1-OL-SERVER4;;;;;;;;;;;;;;;;;;;;rc51e00vm003t;;;;;;;;;;ALG-S1-L-C003xBS011;ALG-S2-L-C006-SAN-SW02;ALG-S1-L-C003xBS011-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-C006-SAN-SW02;;;;;DZ-DC1-SSW-NW003-4;;;;;;
;;;;;djezzy-dc1-OL-SERVER5;;;;;;;;;;;;;;;;;;;;rc51e00vm003u;;;;;;;;;;ALG-S1-L-C004xBS001;ALG-S2-L-SAN-SW01;ALG-S1-L-C004xBS001-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-SAN-SW01;;;;;DZ-DC1-TOR-NW001-2;;;;;;
;;;;;djezzy-dc2-mm-esa;;;;;;;;;;;;;;;;;;;;rc51e00vm003v;;;;;;;;;;ALG-S1-L-C004xBS002;ALG-S2-L-SAN-SW02;ALG-S1-L-C004xBS002-ILO.dbss.otalgerie.com;;;;;;ALG-S2-L-SAN-SW02;;;;;DZ-DC1-TOR-NW003-4;;;;;;
;;;;;djezzy-dc2-mm1;;;;;;;;;;;;;;;;;;;;rc51e00vm003w;;;;;;;;;;ALG-S1-L-C004xBS003;;ALG-S1-L-C004xBS003-ILO.dbss.otalgerie.com;;;;;;;;;;;DZ-DC2-BLS-C001-SW01-2;;;;;;
